"Sekolah Citra Kasih, Samarinda",,,,,,,,,,,
Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300047,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300048,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300049,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300050,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300051,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300052,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,Projector,Projector Epson,SMDIPJ2300005,1,unit,2020-12-02,Active,Baik,IPJ
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,Stavol,Stavol Matsunaga  5000 watt ,SMDITV2400001,1,unit,2024-11-14,Active,Baik,ITV
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,Unifi Switch ,Unifi Access Point HD ,SMDISW2400004,1,unit,2024-07-16,Active,Baik,ISW
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,UPS,UPS APC 10.000VA,SMDIUP2500001,1,unit,2025-05-05,Active,Baik,IUP
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,Wireless Dongle,Epson Elpap 11 Wireless Dongle,SMDIWD2300001,1,unit,2023-11-09,Active,Baik,IWD
Multi Purpose,Dance Room,Asset / Capex,AC,AC LG,SMDGAC1800004,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Dance Room,Asset / Capex,AC,AC LG,SMDGAC1800005,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Dance Room,Asset / Capex,Smartboard Viewsonic,Smartboard Viewsonic,SMDIBS2400002,1,unit,2024-03-04,Active,Baik,IBS
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,AC,AC Panasonic,SMDGAC1800010,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,AC,AC Panasonic,SMDGAC1800011,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,Access Point,Access Point Unifi,SMDIAP2000008,1,unit,2020-12-02,Active,Baik,IAP
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,BenQ Interactive Digital,BenQ Interactive Digital,SMDISB2200001,1,unit,2022-07-28,Active,Baik,ISB
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300022,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Entrepreneur Hall(207),Asset / Capex,Printer,Printer EPSON L3210,SMDIPN2500002,1,unit,2025-01-24,Active,Baik,IPN
Multi Purpose,ICT Laboratory(104),Asset / Capex,AC,AC LG,SMDGAC1800002,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,ICT Laboratory(104),Asset / Capex,AC,AC LG,SMDGAC1800003,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300004,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300005,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300006,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300007,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300008,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300009,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300010,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300011,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300012,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300013,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300014,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300015,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300016,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300017,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300018,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300019,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300020,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,HP AIO I3,HP AIO I3,SMDIPC2300021,1,unit,2023-03-03,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400004,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400005,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400006,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400007,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400008,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400009,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400010,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400011,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400012,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400013,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400014,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400015,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400016,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400017,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,PC,AIO Lenovo i5,SMDIPC2400018,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,ICT Laboratory(104),Asset / Capex,Printer,Printer Epson,SMDIPN2300002,1,unit,2018-07-10,Active,Baik,IPN
Multi Purpose,ICT Laboratory(104),Asset / Capex,Projector,Projector Epson,SMDIPJ0000004,1,unit,2020-12-02,Active,Baik,IPJ
Multi Purpose,ICT Laboratory(104),Asset / Capex,SCREEN PROYECTOR,"Screen Projector Manual Wall 84"" - Layar Projector Manual 84""",SMDIPS2200006,1,unit,2019-03-14,Active,Baik,IPS
Multi Purpose,ICT Laboratory(104),Asset / Capex,Stavol,Stavol Matsunaga  5000 watt ,SMDITV2400002,1,unit,2024-11-14,Active,Baik,ITV
Multi Purpose,ICT Laboratory(104),Asset / Capex,Unifi Switch ,Unifi Access Point HD ,SMDISW2400005,1,unit,2024-07-16,Active,Baik,ISW
Multi Purpose,ICT Laboratory(104),Asset / Capex,UPS,UPS APC 10.000VA,SMDIUP2500002,1,unit,2025-05-05,Active,Baik,IUP
Multi Purpose,Library(202),Asset / Capex,AC,AC Daikin,SMDGAC1900017,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Library(202),Asset / Capex,AC,AC Daikin,SMDGAC1900018,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Library(202),Asset / Capex,AC,AC Daikin,SMDGAC1900019,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Library(202),Asset / Capex,AC,AC Daikin,SMDGAC1900020,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Library(202),Asset / Capex,Access Point,Access Point Unifi,SMDIAP2300002,1,unit,2020-12-02,Active,Baik,IAP
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500001,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500002,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500003,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500004,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500005,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500006,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500007,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500008,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Library(202),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Samsung Tab A9 plus ,SMDIEC2500009,1,unit,2025-07-29,Active,Baik,IEC
Multi Purpose,Positive Studio,Asset / Capex,AC,AC LG,SMDGAC1800006,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Positive Studio,Asset / Capex,Alat Musik,Behringer U-Phoria Studio,GAM21060001,1,unit,2021-05-20,Active,Baik,GAM
Multi Purpose,Positive Studio,Asset / Capex,LED TV,TV Samsung,SMDITV2100001,1,unit,2020-07-08,Active,Baik,ITV
Multi Purpose,Positive Studio,Asset / Capex,PC,PC Rakitan i5,SMDIPC0000041,1,unit,2020-12-02,Active,Baik,IPC
Multi Purpose,Positive Studio,Asset / Capex,Sound System,Sound Card Behringer,SMDGSS2300002,1,unit,2023-07-28,Active,Baik,GSS
Multi Purpose,Principals Office(203),Asset / Capex,AC,AC Panasonic,SMDGAC1800007,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Principals Office(203),Asset / Capex,Access Point,Access Point Unifi,SMDIAP2400002,1,unit,2020-12-02,Active,Baik,IAP
Multi Purpose,Principals Office(203),Asset / Capex,DISPENSER AIR,Dispenser Miyako,SMDGDS1900001,1,unit,2020-12-14,Active,Baik,GDS
Multi Purpose,Principals Office(203),Asset / Capex,LED TV,TV LG,SMDITV0000002,1,unit,2020-07-08,Active,Baik,ITV
Multi Purpose,Principals Office(203),Asset / Capex,Printer,Printer EPSON L4260,SMDIPN2500001,1,unit,2025-01-24,Active,Baik,IPN
Multi Purpose,Principals Office(203),Asset / Capex,Proyektor,Proyektor EPSON EB-X51,IPJ25080002,1,unit,2025-07-16,Active,Baik,IPJ
Multi Purpose,Principals Office(203),Asset / Capex,Wireless Dongle,Epson Elpap 11 Wireless Dongle,SMDIWD2500001,1,unit,2023-11-09,Active,Baik,IWD
Multi Purpose,School Information Center(105),Asset / Capex,AC,AC Daikin,SMDGAC1900011,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,School Information Center(105),Asset / Capex,AC,AC Daikin,SMDGAC1900012,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,School Information Center(105),Asset / Capex,AIO Acer Core i5,AIO Acer Core i5,SMDAIO2200001,1,unit,2022-10-11,Active,Baik,AIO
Multi Purpose,School Information Center(105),Asset / Capex,Barcode Printer,Printer Barcode,SMDIBP2000001,1,unit,2020-12-02,Active,Baik,IBP
Multi Purpose,School Information Center(105),Asset / Capex,Camera,Camera Canon EOS 3000D,SMDGCM1900003,1,unit,2020-12-14,Active,Baik,GCM
Multi Purpose,School Information Center(105),Asset / Capex,Gadget (HP/Tab/IPad) dan Aksesorisnya,Galaxy tab A9+ 5G/8-125gb,SMDIEC2400002,1,unit,2024-08-29,Active,Baik,IEC
